Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
docs/GBA/Manuals/007 - Everything or Nothing.pdf,https://archive.org/download/mister-manuals/2001_Nintendo%20Game%20Boy%20Advance.zip/2001_Nintendo%20Game%20Boy%20Advance%2F007%20-%20Everything%20or%20Nothing.pdf,5058649,10729a096a6c53160821a6400f67a68f,,,007 - Everything or Nothing.pdf
docs/GBA/Manuals/ATV - Quad Power Racing.pdf,https://archive.org/download/mister-manuals/2001_Nintendo%20Game%20Boy%20Advance.zip/2001_Nintendo%20Game%20Boy%20Advance%2FATV%20-%20Quad%20Power%20Racing.pdf,3485983,ed34d4ad106e29cfdac13d2cd365badc,,,ATV - Quad Power Racing.pdf
docs/GBA/Manuals/Activision Anthology.pdf,https://archive.org/download/mister-manuals/2001_Nintendo%20Game%20Boy%20Advance.zip/2001_Nintendo%20Game%20Boy%20Advance%2FActivision%20Anthology.pdf,3127929,b384c73343764abd17a56a90470df69e,,,Activision Anthology.pdf
docs/GBA/Manuals/Advance Wars 2 - Black Hole Rising.pdf,https://archive.org/download/mister-manuals/2001_Nintendo%20Game%20Boy%20Advance.zip/2001_Nintendo%20Game%20Boy%20Advance%2FAdvance%20Wars%202%20-%20Black%20Hole%20Rising.pdf,3227747,de30655c086ea91fccdcb533f7c9f61a,,,Advance Wars 2 - Black Hole Rising.pdf
docs/GBA/Manuals/Advance Wars.pdf,https://archive.org/download/mister-manuals/2001_Nintendo%20Game%20Boy%20Advance.zip/2001_Nintendo%20Game%20Boy%20Advance%2FAdvance%20Wars.pdf,4459364,6081115f4f16bb899f77e92ce8ec48aa,,,Advance Wars.pdf
"docs/GBA/Manuals/Adventures of Jimmy Neutron Boy Genius, The - Attack of the Twonkies.pdf",https://archive.org/download/mister-manuals/2001_Nintendo%20Game%20Boy%20Advance.zip/2001_Nintendo%20Game%20Boy%20Advance%2FAdventures%20of%20Jimmy%20Neutron%20Boy%20Genius%2C%20The%20-%20Attack%20of%20the%20Twonkies.pdf,4648349,7389bf1f9a0e2e7b3b1419cff1236d5c,,,"Adventures of Jimmy Neutron Boy Genius, The - Attack of the Twonkies.pdf"
docs/GBA/Manuals/Aero the Acro-Bat - Rascal Rival Revenge.pdf,https://archive.org/download/mister-manuals/2001_Nintendo%20Game%20Boy%20Advance.zip/2001_Nintendo%20Game%20Boy%20Advance%2FAero%20the%20Acro-Bat%20-%20Rascal%20Rival%20Revenge.pdf,4388930,9105e646dcfa07e2ad4855bae36b5d09,,,Aero the Acro-Bat - Rascal Rival Revenge.pdf
docs/GBA/Manuals/Alex Rider - Stormbreaker.pdf,https://archive.org/download/mister-manuals/2001_Nintendo%20Game%20Boy%20Advance.zip/2001_Nintendo%20Game%20Boy%20Advance%2FAlex%20Rider%20-%20Stormbreaker.pdf,3669268,28bd235ca96adce71c3486dc41a05edb,,,Alex Rider - Stormbreaker.pdf
docs/GBA/Manuals/Alienators - Evolution Continues.pdf,https://archive.org/download/mister-manuals/2001_Nintendo%20Game%20Boy%20Advance.zip/2001_Nintendo%20Game%20Boy%20Advance%2FAlienators%20-%20Evolution%20Continues.pdf,5207762,5b873dbdbde8f350371c66386c345539,,,Alienators - Evolution Continues.pdf
docs/GBA/Manuals/All Grown Up! - Express Yourself.pdf,https://archive.org/download/mister-manuals/2001_Nintendo%20Game%20Boy%20Advance.zip/2001_Nintendo%20Game%20Boy%20Advance%2FAll%20Grown%20Up%21%20-%20Express%20Yourself.pdf,4740651,27e1baf1d1e6fb3fa8f36c7ee284ad45,,,All Grown Up! - Express Yourself.pdf
docs/GBA/Manuals/All-Star Baseball 2003.pdf,https://archive.org/download/mister-manuals/2001_Nintendo%20Game%20Boy%20Advance.zip/2001_Nintendo%20Game%20Boy%20Advance%2FAll-Star%20Baseball%202003.pdf,4889693,456cd078aef35cca1f062a88d7e913d3,,,All-Star Baseball 2003.pdf
docs/GBA/Manuals/American Bass Challenge.pdf,https://archive.org/download/mister-manuals/2001_Nintendo%20Game%20Boy%20Advance.zip/2001_Nintendo%20Game%20Boy%20Advance%2FAmerican%20Bass%20Challenge.pdf,5367238,45ff8cd19f31ecf1143cf95ac8fe8663,,,American Bass Challenge.pdf
docs/GBA/Manuals/Animal Snap - Rescue Them 2 by 2.pdf,https://archive.org/download/mister-manuals/2001_Nintendo%20Game%20Boy%20Advance.zip/2001_Nintendo%20Game%20Boy%20Advance%2FAnimal%20Snap%20-%20Rescue%20Them%202%20by%202.pdf,2829959,9c27d812c26d38bc429baf6251ff66a2,,,Animal Snap - Rescue Them 2 by 2.pdf
"docs/GBA/Manuals/Ant Bully, The.pdf",https://archive.org/download/mister-manuals/2001_Nintendo%20Game%20Boy%20Advance.zip/2001_Nintendo%20Game%20Boy%20Advance%2FAnt%20Bully%2C%20The.pdf,3795299,c3eca62186b199037d3d22ae437f69c6,,,"Ant Bully, The.pdf"
docs/GBA/Manuals/Archer Maclean_s 3D Pool.pdf,https://archive.org/download/mister-manuals/2001_Nintendo%20Game%20Boy%20Advance.zip/2001_Nintendo%20Game%20Boy%20Advance%2FArcher%20Maclean_s%203D%20Pool.pdf,3187084,d9b86c6150b33364b5b67776ced31333,,,Archer Maclean_s 3D Pool.pdf
docs/GBA/Manuals/Army Men Advance.pdf,https://archive.org/download/mister-manuals/2001_Nintendo%20Game%20Boy%20Advance.zip/2001_Nintendo%20Game%20Boy%20Advance%2FArmy%20Men%20Advance.pdf,3465828,ccd1833c9333e67937b0f2d64b0786e0,,,Army Men Advance.pdf
docs/GBA/Manuals/Atari Anniversary Advance.pdf,https://archive.org/download/mister-manuals/2001_Nintendo%20Game%20Boy%20Advance.zip/2001_Nintendo%20Game%20Boy%20Advance%2FAtari%20Anniversary%20Advance.pdf,4610917,2ec8a7d5bd256ff8f907419305d3d871,,,Atari Anniversary Advance.pdf
docs/GBA/Manuals/Atlantis - The Lost Empire.pdf,https://archive.org/download/mister-manuals/2001_Nintendo%20Game%20Boy%20Advance.zip/2001_Nintendo%20Game%20Boy%20Advance%2FAtlantis%20-%20The%20Lost%20Empire.pdf,5620651,433dc57bf2b8460db88ca5efdd5ab119,,,Atlantis - The Lost Empire.pdf
docs/GBA/Manuals/Atomic Betty.pdf,https://archive.org/download/mister-manuals/2001_Nintendo%20Game%20Boy%20Advance.zip/2001_Nintendo%20Game%20Boy%20Advance%2FAtomic%20Betty.pdf,3807981,6af266661b654fba93d84997ff34d9ed,,,Atomic Betty.pdf
docs/GBA/Manuals/Back to Stone.pdf,https://archive.org/download/mister-manuals/2001_Nintendo%20Game%20Boy%20Advance.zip/2001_Nintendo%20Game%20Boy%20Advance%2FBack%20to%20Stone.pdf,4167020,0748e4034e291e50fce865573af06a58,,,Back to Stone.pdf
docs/GBA/Manuals/Backyard Baseball 2006.pdf,https://archive.org/download/mister-manuals/2001_Nintendo%20Game%20Boy%20Advance.zip/2001_Nintendo%20Game%20Boy%20Advance%2FBackyard%20Baseball%202006.pdf,5006612,fac776b8443a9dd60ff357ab24362142,,,Backyard Baseball 2006.pdf
